penalty_fixed_id,clause_fixed_id,clause_description,classification_level,penalty_description,rate,employee_rate_type_code,penalty_calculated_value,calculated_includes_all_purpose,base_pay_rate_id,operative_from,operative_to,version_number,published_year,last_modified_datetime
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,43.58,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:12+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,51.86,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:09+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,23.38,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:08+00:00
1954,21696,Casual adult shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - all hours within shift,250,,60.1,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:52:33+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:13+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:16+00:00
1940,21693,Full-time and part-time adult shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,50.96,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:52:27+00:00
1954,21696,Casual adult shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - all hours within shift,250,,64.05,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:52:22+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,50.18,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:13+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,24.35,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:08+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,54.88,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:09+00:00
5397,22631,Junior apprentice who began apprenticeship on 1 January 2014 or later—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,41.58,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:43+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,51.95,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:08+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,34.65,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:13+00:00
1954,21696,Casual adult shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - all hours within shift,250,,57.73,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:52:33+00:00
1954,21696,Casual adult shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - all hours within shift,250,,66.65,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:52:22+00:00
1990,21703,Junior apprentice who began apprenticeship before 1 January 2014—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,31.19,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:42+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,29.41,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:07+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,55.78,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:13+00:00
5397,22631,Junior apprentice who began apprenticeship on 1 January 2014 or later—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,28.58,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:43+00:00
1954,21696,Casual adult shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - all hours within shift,250,,54.45,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:52:33+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,54.1,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:14+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,33.45,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:12+00:00
1940,21693,Full-time and part-time adult shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,54.09,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:52:27+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,36.08,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:13+00:00
5397,22631,Junior apprentice who began apprenticeship on 1 January 2014 or later—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,41.58,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:43+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,40.14,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:07+00:00
1954,21696,Casual adult shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - all hours within shift,250,,64.05,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:52:22+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,51.95,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:08+00:00
1954,21696,Casual adult shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - all hours within shift,250,,60.98,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:52:22+00:00
5412,22634,Adult apprentice who began apprenticeship on 1 January 2014 or later—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,49.01,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:40+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,40.77,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:08+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,36.6,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:15+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,42.08,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:14+00:00
1954,21696,Casual adult shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - all hours within shift,250,,57.73,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:52:33+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,24.5,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:07+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,54.88,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:16+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:16+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,53.98,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:10+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,25.09,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:07+00:00
1990,21703,Junior apprentice who began apprenticeship before 1 January 2014—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,41.58,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:43+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,46.1,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:09+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,30.58,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:08+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,41.58,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:08+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,30.05,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:13+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,25.48,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:13+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,32.68,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:12+00:00
1990,21703,Junior apprentice who began apprenticeship before 1 January 2014—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,46.78,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:43+00:00
5397,22631,Junior apprentice who began apprenticeship on 1 January 2014 or later—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,33.77,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:43+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,57.73,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:13+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,24.5,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:12+00:00
5397,22631,Junior apprentice who began apprenticeship on 1 January 2014 or later—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:43+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,23.38,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:08+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,27.88,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:12+00:00
1954,21696,Casual adult shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - all hours within shift,250,,56.63,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:52:33+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:12+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,45.3,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:13+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,40.43,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:13+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,46.65,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:01+00:00
5412,22634,Adult apprentice who began apprenticeship on 1 January 2014 or later—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,41.58,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:40+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,56.63,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:13+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,34.65,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:13+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,44.83,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:01+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:08+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,28.33,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:13+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,32.94,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:09+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,39.22,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:07+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,35.98,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:09+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:13+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,25.98,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:13+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,25.49,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:07+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,36.38,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:08+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,46.1,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:09+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,27,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:09+00:00
1940,21693,Full-time and part-time adult shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,50.96,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:52:27+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,49.01,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:07+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,24.35,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:08+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,32.47,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:08+00:00
5397,22631,Junior apprentice who began apprenticeship on 1 January 2014 or later—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,46.78,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:43+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,24.71,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:09+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,45.16,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:07+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,49.39,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:09+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,38.41,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:09+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,39.03,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:12+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:08+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,46.2,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:13+00:00
1965,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,225,,32.94,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:09+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,43.58,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:12+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,38.13,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:12+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,33.45,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:12+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,34.65,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:13+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,32.68,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:12+00:00
1979,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Public holiday - All hours within shift,250,,27.88,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:12+00:00
1963,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Saturday - OBPE and BPE,150,,20.79,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:13+00:00
1977,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Saturday - OBPE and BPE,175,,23.42,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:03+00:00
1938,21693,Full-time and part-time adult shiftworkers—shiftwork and penalty rates,,All shiftworkers: Saturday - OBPE and BPE,150,,38.43,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:52:33+00:00
1963,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Saturday - OBPE and BPE,150,,32.93,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:14+00:00
1938,21693,Full-time and part-time adult shiftworkers—shiftwork and penalty rates,,All shiftworkers: Saturday - OBPE and BPE,150,,33.98,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:52:33+00:00
1977,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Saturday - OBPE and BPE,175,,19.06,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:02+00:00
1977,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Saturday - OBPE and BPE,175,,24.26,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:04+00:00
1977,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Saturday - OBPE and BPE,175,,46.66,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:06+00:00
1963,21698,Full-time and part-time junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Saturday - OBPE and BPE,150,,,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:12+00:00
1977,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Saturday - OBPE and BPE,175,,17.57,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:02+00:00
1938,21693,Full-time and part-time adult shiftworkers—shiftwork and penalty rates,,All shiftworkers: Saturday - OBPE and BPE,150,,36.59,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:52:33+00:00
5395,22631,Junior apprentice who began apprenticeship on 1 January 2014 or later—shiftwork and penalty rates,,All shiftworkers: Saturday - OBPE and BPE,150,,22.52,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:50:35+00:00
1952,21696,Casual adult shiftworkers—shiftwork and penalty rates,,All shiftworkers: Saturday - OBPE and BPE,175,,44.84,false,,2021-02-01,2021-08-31,,2020,2025-05-06T05:52:33+00:00
1977,21701,Casual junior shiftworkers—shiftwork and penalty rates,,All shiftworkers: Saturday - OBPE and BPE,175,,32.66,false,,2021-02-01,2021-04-30,,2020,2025-05-06T05:50:06+00:00
